a,b,metric,n,a_only_wins,b_only_wins,p_exact,a_only_ids,b_only_ids
XiYan baseline,XiYan full RAG,EX,172,5,34,0.0,68 131 151 160 167,36 49 56 58 59 61 63 65 69 71 72 74 76 77 78 79 80 97 99 102 108 124 126 129 130 136 138 139 140 142 145 153 159 162
XiYan baseline,XiYan few-shot,EX,172,6,34,0.0,52 68 96 131 151 160,4 36 49 56 58 59 61 63 65 69 71 72 74 76 77 78 79 80 97 99 102 108 124 126 129 136 138 139 140 142 145 153 159 162
XiYan baseline,XiYan schema-only,EX,172,16,15,1.0,33 48 51 57 94 103 104 128 131 143 144 158 160 161 163 165,4 36 56 58 59 61 63 65 72 126 129 130 136 138 139
XiYan few-shot,XiYan full RAG,EX,172,2,3,1.0,4 167,52 96 130
Qwen baseline,Qwen full RAG,EX,172,5,20,0.0041,60 66 71 124 131,14 15 25 33 38 74 75 97 102 103 108 110 126 145 146 153 160 163 168 169
Qwen baseline,Qwen schema-only,EX,172,5,6,1.0,45 66 69 76 134,14 15 102 126 160 169
XiYan baseline,Qwen baseline,EX,172,12,36,0.0007,14 15 25 33 38 103 110 143 160 163 168 169,4 36 45 49 50 56 58 59 60 61 62 63 65 66 69 71 72 76 77 78 79 80 99 107 124 129 130 136 138 139 140 142 149 157 159 162
XiYan full RAG,Qwen full RAG,EX,172,3,13,0.0213,71 124 143,4 45 50 62 68 75 107 146 149 151 157 160 167
